Hprev,Cprev,Deaths,output,replicate
332.714285714286,453.428571428572,1131,Ens000a,19
181.857142857143,376.142857142857,1572,Ens000a,20
2.71428571428571,15.0,4900,Ens000b,1
7.85714285714286,10.1428571428571,4936,Ens000b,2
7.57142857142857,13.5714285714286,4947,Ens000b,3
7.14285714285714,14.0,4854,Ens000b,4
17.2857142857143,22.5714285714286,4877,Ens000b,5
8.28571428571429,18.4285714285714,4880,Ens000b,6
11.1428571428571,16.2857142857143,4900,Ens000b,7
10.0,11.5714285714286,4935,Ens000b,8
6.71428571428571,9.14285714285714,4841,Ens000b,9
9.71428571428571,16.7142857142857,4919,Ens000b,10
5.85714285714286,15.7142857142857,4804,Ens000b,11
5.42857142857143,16.7142857142857,4871,Ens000b,12
11.7142857142857,13.4285714285714,4859,Ens000b,13
6.85714285714286,16.1428571428571,4850,Ens000b,14
8.85714285714286,19.5714285714286,4900,Ens000b,15
8.14285714285714,14.4285714285714,4893,Ens000b,16
6.85714285714286,21.8571428571429,4841,Ens000b,17
9.71428571428571,12.8571428571429,4819,Ens000b,18
7.85714285714286,15.5714285714286,4871,Ens000b,19
2.42857142857143,19.4285714285714,4868,Ens000b,20
1.57142857142857,4.14285714285714,389,Ens000c,1
3.28571428571429,3.0,356,Ens000c,2
4.42857142857143,4.71428571428571,364,Ens000c,3
7.42857142857143,2.71428571428571,353,Ens000c,4
10.0,4.14285714285714,352,Ens000c,5
8.42857142857143,0.714285714285714,383,Ens000c,6
5.57142857142857,1.14285714285714,423,Ens000c,7
7.28571428571429,0.571428571428571,370,Ens000c,8
5.42857142857143,3.14285714285714,333,Ens000c,9
2.14285714285714,1.57142857142857,406,Ens000c,10
7.42857142857143,2.0,336,Ens000c,11
1.42857142857143,4.71428571428571,395,Ens000c,12
5.0,1.85714285714286,390,Ens000c,13
15.4285714285714,5.0,306,Ens000c,14
2.57142857142857,5.0,379,Ens000c,15
10.8571428571429,5.71428571428571,309,Ens000c,16
